id,tcg_id
3489772,swsh10-66
3489595,swsh10-96
3508401,swsh10-TG09
3489796,swsh10-96
3508419,swsh10-TG27
3489625,swsh10-126
3489821,swsh10-126
3489556,swsh10-58
3489764,swsh10-58
3489557,swsh10-59
3489765,swsh10-59
3489602,swsh10-103
3489800,swsh10-103
3489620,swsh10-121
3489816,swsh10-121
3489632,swsh10-133
3489678,swsh10-179
3489612,swsh10-113
3489676,swsh10-177
3489613,swsh10-114
3489698,swsh10-198
3489710,swsh10-210
3489666,swsh10-167
3489537,swsh10-39
3489691,swsh10-192
3489708,swsh10-208
3489538,swsh10-40
3489539,swsh10-41
3489750,swsh10-41
3489713,swsh10-213
3489614,swsh10-115
3489811,swsh10-115
3489513,swsh10-15
3489729,swsh10-15
3508479,swsh10-TG28
3489530,swsh10-32
3489742,swsh10-32
3489519,swsh10-21
3489734,swsh10-21
3489594,swsh10-95
3489795,swsh10-95
3489526,swsh10-28
3489739,swsh10-28
3489627,swsh10-128
3489823,swsh10-128
3489522,swsh10-24
3489737,swsh10-24
3489544,swsh10-46
6166529,swsh10-46
3489579,swsh10-81
3489784,swsh10-81
3489525,swsh10-27
4135443,swsh10-27
3489558,swsh10-60
3489766,swsh10-60
3489575,swsh10-77
3489781,swsh10-77
3489520,swsh10-22
3489735,swsh10-22
3489535,swsh10-37
3489747,swsh10-37
3489617,swsh10-118
3489813,swsh10-118
3489549,swsh10-51
3489758,swsh10-51
3489629,swsh10-130
3489825,swsh10-130
3489573,swsh10-75
3489779,swsh10-75
3489607,swsh10-108
3489805,swsh10-108
3489517,swsh10-19
3489732,swsh10-19
3489649,swsh10-150
3489687,swsh10-188
3489706,swsh10-206
7736450,swsh10-150
4135462,swsh10-150
3489843,swsh10-150
3489630,swsh10-131
3489826,swsh10-131
3489502,swsh10-4
3489503,swsh10-5
3489718,swsh10-4
3489719,swsh10-5
3508409,swsh10-TG17
3508410,swsh10-TG18
3508973,swsh10-TG30
3489512,swsh10-14
3489728,swsh10-14
3489608,swsh10-109
3489806,swsh10-109
3489650,swsh10-151
3489844,swsh10-151
3489624,swsh10-125
3489820,swsh10-125
5810877,swsh10-125
3489665,swsh10-166
3489528,swsh10-30
3508405,swsh10-TG13
5769125,swsh10-30
3489572,swsh10-74
3489778,swsh10-74
3489651,swsh10-152
3489845,swsh10-152
3489652,swsh10-153
3489846,swsh10-153
3489529,swsh10-31
3489741,swsh10-31
3489653,swsh10-154
3489847,swsh10-154
3489621,swsh10-122
3489817,swsh10-122
3489654,swsh10-155
3489714,swsh10-214
3489848,swsh10-155
3489603,swsh10-104
3489801,swsh10-104
3489555,swsh10-57
3489763,swsh10-57
3489553,swsh10-55
3489761,swsh10-55
3489554,swsh10-56
3489762,swsh10-56
3489655,swsh10-156
3489715,swsh10-215
3489849,swsh10-156
4563041,swsh10-52
3489656,swsh10-157
3489850,swsh10-157
3489623,swsh10-124
3489819,swsh10-124
3489622,swsh10-123
3489818,swsh10-123
3489563,swsh10-65
3489771,swsh10-65
3489510,swsh10-12
3489726,swsh10-12
3489663,swsh10-164
3489657,swsh10-158
3489851,swsh10-158
3489534,swsh10-36
3489746,swsh10-36
7598913,swsh10-69
3508398,swsh10-TG06
3489633,swsh10-134
3489679,swsh10-180
3489567,swsh10-69
3489775,swsh10-69
3489504,swsh10-6
3489720,swsh10-6
3489505,swsh10-7
3489721,swsh10-7
3508413,swsh10-TG21
3508414,swsh10-TG22
3489658,swsh10-159
3489688,swsh10-189
3489707,swsh10-207
3489852,swsh10-159
959553,xy9-62
959668,xy9-62
959587,xy9-96
959695,xy9-96
959502,xy9-11
959625,xy9-11
959576,xy9-85
959686,xy9-85
959493,xy9-2
5401909,xy9-2
959616,xy9-2
959539,xy9-48
959655,xy9-48
959588,xy9-97
959696,xy9-97
959504,xy9-13
959627,xy9-13
959492,xy9-1
959614,xy9-1
959573,xy9-82
959684,xy9-82
959572,xy9-81
959683,xy9-81
959515,xy9-24
959636,xy9-24
959520,xy9-29
959639,xy9-29
959609,xy9-118
959565,xy9-74
959589,xy9-98
2423641,xy9-98a
2390411,xy9-98b
959697,xy9-98
959552,xy9-61
959667,xy9-61
959577,xy9-86
959687,xy9-86
959545,xy9-54
959660,xy9-54
959541,xy9-50
959657,xy9-50
959527,xy9-36
959645,xy9-36
959581,xy9-90
959690,xy9-90
959500,xy9-9
959623,xy9-9
959533,xy9-42
959650,xy9-42
959534,xy9-43
959651,xy9-43
959505,xy9-14
959608,xy9-117
959543,xy9-52
959549,xy9-58
959664,xy9-58
959570,xy9-79
959681,xy9-79
959571,xy9-80
959682,xy9-80
959590,xy9-99
959698,xy9-99
959529,xy9-38
959647,xy9-38
959530,xy9-39
959648,xy9-39
959586,xy9-95
959694,xy9-95
959560,xy9-69
959674,xy9-69
959548,xy9-57
959663,xy9-57
959561,xy9-70
959675,xy9-70
959559,xy9-68
959673,xy9-68
959584,xy9-93
959692,xy9-93
959508,xy9-17
959509,xy9-18
959630,xy9-17
959591,xy9-100
959699,xy9-100
959531,xy9-40
959532,xy9-41
5705291,xy9-40
6396932,xy9-40
6392471,xy9-40
6135472,xy9-40
7222063,xy9-40
959649,xy9-40
959501,xy9-10
959624,xy9-10
959605,xy9-114
959615,xy9-123
959517,xy9-26
959592,xy9-101
959700,xy9-101
959506,xy9-15
959628,xy9-15
959612,xy9-121
959583,xy9-92
959551,xy9-60
959666,xy9-60
959542,xy9-51
959658,xy9-51
959496,xy9-5
959619,xy9-5
959497,xy9-6
959620,xy9-6
959519,xy9-28
959638,xy9-28
959499,xy9-8
959622,xy9-8
959536,xy9-45
959653,xy9-45
959537,xy9-46
959538,xy9-47
6402849,xy9-46
959654,xy9-46
959606,xy9-115
959518,xy9-27
959611,xy9-120
959568,xy9-77
959607,xy9-116
959523,xy9-32
959569,xy9-78
959680,xy9-78
959593,xy9-102
959701,xy9-102
959594,xy9-103
959702,xy9-103
959494,xy9-3
959617,xy9-3
959550,xy9-59
959665,xy9-59
959595,xy9-104
959703,xy9-104
959503,xy9-12
959626,xy9-12
959563,xy9-72
959677,xy9-72
959522,xy9-31
959641,xy9-31
959525,xy9-34
959643,xy9-34
959562,xy9-71
959676,xy9-71
959566,xy9-75
959679,xy9-75
959498,xy9-7
959621,xy9-7
959555,xy9-64
959670,xy9-64
959596,xy9-105
959704,xy9-105
959597,xy9-106
959705,xy9-106
959598,xy9-107
2423648,xy9-107a
959706,xy9-107
5172628,xy9-107
959599,xy9-108
959707,xy9-108
959507,xy9-16
959629,xy9-16
959585,xy9-94
959693,xy9-94
959600,xy9-109
959708,xy9-109
959579,xy9-88
959580,xy9-89
959689,xy9-88
959578,xy9-87
959688,xy9-87
959601,xy9-110
959709,xy9-110
959610,xy9-119
959567,xy9-76
959602,xy9-111
959710,xy9-111
959495,xy9-4
959618,xy9-4
959526,xy9-35
959644,xy9-35
959513,xy9-22
959514,xy9-23
959634,xy9-22
959635,xy9-23
959564,xy9-73
959678,xy9-73
959535,xy9-44
959652,xy9-44
959546,xy9-55
959661,xy9-55
959544,xy9-53
959659,xy9-53
959554,xy9-63
959669,xy9-63
959613,xy9-122
959511,xy9-20
959632,xy9-20
959512,xy9-21
959633,xy9-21
959510,xy9-19
959631,xy9-19
959604,xy9-113
959712,xy9-113
959575,xy9-84
959685,xy9-84
959582,xy9-91
959691,xy9-91
959516,xy9-25
959637,xy9-25
959558,xy9-67
959672,xy9-67
959521,xy9-30
959640,xy9-30
959528,xy9-37
959646,xy9-37
959603,xy9-112
959711,xy9-112
959574,xy9-83
959556,xy9-65
959557,xy9-66
959671,xy9-65
959547,xy9-56
959662,xy9-56
